"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2021","1,517.67","1,521.77","1,531.54","1,510.86","127.20K","0.08%"
"Jul 20, 2021","1,516.43","1,486.11","1,516.43","1,461.84","160.19K","2.21%"
"Jul 19, 2021","1,483.69","1,505.55","1,521.06","1,476.02","226.07K","-3.84%"
"Jul 16, 2021","1,542.86","1,551.04","1,554.10","1,533.93","128.88K","-0.21%"
"Jul 15, 2021","1,546.06","1,519.08","1,546.06","1,508.90","117.09K","1.78%"
"Jul 14, 2021","1,519.08","1,533.03","1,551.14","1,495.90","173.25K","-0.91%"
"Jul 13, 2021","1,533.03","1,512.14","1,533.03","1,502.07","159.99K","1.38%"
"Jul 12, 2021","1,512.14","1,567.33","1,567.33","1,479.79","252.83K","-3.52%"
"Jul 09, 2021","1,567.33","1,599.36","1,602.45","1,550.42","235.64K","-2.00%"
"Jul 08, 2021","1,599.36","1,614.19","1,624.91","1,589.92","163.96K","-0.81%"
"Jul 07, 2021","1,612.48","1,611.85","1,620.10","1,572.66","216.39K","-0.09%"
"Jul 06, 2021","1,613.93","1,686.45","1,688.48","1,613.93","234.39K","-4.22%"
"Jul 05, 2021","1,685.02","1,703.06","1,704.06","1,668.26","237.26K","-1.15%"
"Jul 02, 2021","1,704.68","1,700.93","1,711.10","1,700.33","199.17K","0.22%"
"Jul 01, 2021","1,700.93","1,683.89","1,701.63","1,673.18","224.01K","1.01%"
"Jun 30, 2021","1,683.89","1,691.90","1,694.31","1,682.67","167.72K","-0.47%"
"Jun 29, 2021","1,691.90","1,694.70","1,704.25","1,686.58","189.06K","-0.17%"
"Jun 28, 2021","1,694.77","1,675.33","1,696.02","1,675.33","208.53K","1.19%"
"Jun 25, 2021","1,674.89","1,665.37","1,674.94","1,649.67","183.66K","0.56%"
"Jun 24, 2021","1,665.64","1,673.97","1,678.53","1,660.52","185.38K","-0.50%"
"Jun 23, 2021","1,673.97","1,693.95","1,694.40","1,668.41","233.70K","-1.18%"
"Jun 22, 2021","1,693.88","1,695.27","1,704.99","1,691.07","243.94K","-0.06%"
"Jun 21, 2021","1,694.92","1,707.54","1,711.58","1,687.61","278.13K","-0.60%"
"Jun 18, 2021","1,705.13","1,686.41","1,708.87","1,686.41","314.30K","1.14%"
"Jun 17, 2021","1,685.98","1,661.63","1,686.76","1,641.25","285.29K","1.47%"
"Jun 16, 2021","1,661.63","1,668.07","1,676.91","1,651.42","260.18K","-0.40%"
"Jun 15, 2021","1,668.28","1,646.07","1,671.84","1,646.07","249.27K","1.35%"
