"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2021","1,274.86","1,275.80","1,283.12","1,267.21","50.54K","0.30%"
"Jul 20, 2021","1,271.02","1,245.63","1,271.02","1,235.90","72.06K","1.93%"
"Jul 19, 2021","1,246.98","1,259.65","1,269.17","1,242.60","92.52K","-3.42%"
"Jul 16, 2021","1,291.17","1,286.27","1,292.98","1,283.67","65.03K","0.41%"
"Jul 15, 2021","1,285.92","1,264.43","1,285.92","1,257.73","61.18K","1.70%"
"Jul 14, 2021","1,264.43","1,274.17","1,282.33","1,247.65","79.67K","-0.76%"
"Jul 13, 2021","1,274.17","1,259.90","1,274.17","1,245.92","84.75K","1.13%"
"Jul 12, 2021","1,259.90","1,317.18","1,317.18","1,244.74","116.04K","-4.35%"
"Jul 09, 2021","1,317.18","1,344.83","1,346.68","1,306.25","93.37K","-2.06%"
"Jul 08, 2021","1,344.83","1,349.91","1,361.50","1,336.50","73.12K","-0.20%"
"Jul 07, 2021","1,347.46","1,340.57","1,347.46","1,310.57","104.67K","0.04%"
"Jul 06, 2021","1,346.88","1,393.13","1,398.96","1,346.88","123.51K","-3.38%"
"Jul 05, 2021","1,394.06","1,406.87","1,406.87","1,382.61","118.78K","-0.95%"
"Jul 02, 2021","1,407.45","1,400.66","1,407.95","1,399.97","114.85K","0.48%"
"Jul 01, 2021","1,400.66","1,392.19","1,401.92","1,386.75","123.34K","0.61%"
"Jun 30, 2021","1,392.19","1,396.91","1,399.81","1,389.93","86.21K","-0.34%"
"Jun 29, 2021","1,396.97","1,404.60","1,406.99","1,391.89","97.87K","-0.53%"
"Jun 28, 2021","1,404.35","1,389.75","1,405.42","1,389.54","113.70K","1.05%"
"Jun 25, 2021","1,389.79","1,378.26","1,390.13","1,370.70","86.33K","0.81%"
"Jun 24, 2021","1,378.57","1,389.27","1,390.46","1,377.80","96.84K","-0.77%"
"Jun 23, 2021","1,389.27","1,405.11","1,405.11","1,384.26","127.34K","-1.13%"
"Jun 22, 2021","1,405.14","1,414.21","1,421.11","1,403.85","127.76K","-0.64%"
"Jun 21, 2021","1,414.15","1,415.45","1,423.73","1,409.19","133.68K","-0.12%"
"Jun 18, 2021","1,415.91","1,397.77","1,416.97","1,397.42","143.96K","1.30%"
"Jun 17, 2021","1,397.68","1,383.90","1,397.68","1,369.81","119.27K","0.98%"
"Jun 16, 2021","1,384.11","1,378.29","1,389.41","1,365.32","128.98K","0.43%"
"Jun 15, 2021","1,378.25","1,368.61","1,379.92","1,362.83","107.39K","0.71%"
"Jun 14, 2021","1,368.59","1,359.30","1,375.76","1,358.11","121.73K","0.61%"
"Jun 11, 2021","1,360.28","1,336.02","1,360.32","1,335.19","132.39K","1.82%"
"Jun 10, 2021","1,336.02","1,336.05","1,339.91","1,326.38","110.37K","0.01%"
"Jun 09, 2021","1,335.83","1,331.19","1,341.97","1,306.95","109.67K","0.34%"
